username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	0	0
adalberto	0	0
adamelis	0	0
addys	288809391	25773579
adria	0	0
adrianamg	0	0
aleyda	90258591	1828583
alicia	15291412	953410
alida	0	0
alina	0	0
amarilys	0	0
amarrero	50636405	1382282
ambar	161059342	13430572
ana.laura	7825401	1708395
anagloria	111480851	11664260
anamayra	0	0
ananidia	19509295	2988602
anapilar	54676498	7778112
anaraime	237049806	12963887
angelica	0	0
ankumu	148437403	4861035
annerys	0	0
antonio	590035	35976
aracelys	300458690	14169758
ariadna	150951212	6360175
arismary	0	0
arletys	115689373	4873325
armando	0	0
arnaldo	0	0
arodriguez	203633751	342155
atorrella	0	0
avossirini	0	0
aymara	13064223	1270690
ayme	0	0
b.peon	0	0
barbara	0	0
belar	0	0
belkis	7065987	309285
berta	0	0
biorkys	35478488	2440752
blanca	612209	163842
bmazon	0	0
bobrador	0	0
campos	66158017	4748015
cantero	11250724	602607
carmen	359544148	18948520
carmen.fdez	4833590	454227
carmenevelyn	0	0
cary	14199605	2373683
celeste	0	0
chavely	0	0
csanchez	132383871	7278204
cvarela	148197999	16127678
dailen	0	0
dainik	48275500	4329526
dalia	20065115	974073
dalila	0	0
danay	73128774	851068
danayd	0	0
dayamim	0	0
dayanira	0	0
daylin	0	0
dbcruz	0	0
deneb	0	0
denys	0	0
dergis	0	0
dgmitjams	0	0
dhernandez	855164	89662
diadelis	375785783	45999994
dianalay	0	0
dianapr	13681104	553816
directora	0	0
dorian	0	0
dulce	0	0
dunia	124154738	13158927
dunia.glez	0	0
e.suarez	0	0
ealcolea	0	0
eileen	74612097	10257502
elenalaviellez	440178	56057
elva	0	0
epelaez	0	0
eperez	0	0
erich	16764624	1191484
evelyn	33782198	1614368
evelyn.mayo	0	0
fabien	37146990	2588139
faselis	37110674	2863242
fausto	69630159	2671481
gabriel	0	0
gilberto	0	0
giset	0	0
gretel	0	0
grethel	0	0
hendrik	0	0
heredia	40013916	2192034
herminio	0	0
humberto	0	0
idalis	14468639	365462
ileanagr	0	0
ileanasl	77034402	3051273
ileanat	0	0
imanuel	0	0
isac	0	0
ismaray	95796927	25915202
ismary	0	0
ivan.castellanos	0	0
ivonne	27209253	1432494
ivonnerv	36118731	3746552
jacome	307199928	7409785
jacque	0	0
janette	0	0
javi.lopez	3121223993	26384674
jcarrillo	455301649	4884249
jcasamayor	0	0
jfalcon	3596356503	34289361
jorge	213952059	1159514
jpuñales	261328907	8697991
jrodriguez	263558357	1000310
jvr	117712219	9675627
karenriera	0	0
kenia	20478784	1984337
ksantos	0	0
laura.rivas	71267391	11448115
lazaro	0	0
lazaro.pina	271512838	10264652
lbcubas	0	0
leandy	0	0
leanie	50020474	6385450
lenier	0	0
leonardo	0	0
leyla	251195141	23728051
lgarcia	0	0
liana	8920782	751597
liena	18020231	1363645
liliana	0	0
liris	255799509	761617
lisette	747177285	10535872
lisi	80608090	5675732
lissy	0	0
llilian	0	0
lmaria	120337945	11869616
loida	0	0
lorena	1684690494	34636859
luis	124122996	9482598
madai	57042261	4074472
magda	0	0
manresa	253853775	5149962
manuel	62531946	5615771
mariam	45271759	6036647
marieladp	0	0
marilyn	0	0
mario	291751053	19776819
marlenin	0	0
marthah	156422863	882145
maydelin	305390804	9197017
maydelin.ds	0	0
mayelin	2104889	60399
mayelis	0	0
maylen	301508955	13126465
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	0	0
mercedes	0	0
merleneg	86059071	3906028
meylin	39960934	3510277
mhcollazo	0	0
miriam	116735886	6883605
mirta	0	0
mirza	0	0
mylene	0	0
naisy	13668003	962887
natacha	12696825	476819
nestor	0	0
nieves	229700782	14127982
niovis	1008300	155639
noaris	0	0
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	4335507	1052898
olguita	0	0
orisel	0	0
orlando	0	0
osmar	16737157	1142659
oxana	0	0
piqueras	0	0
pmando	0	0
rafadiaz	154065074	3243960
raidel	0	0
raisi	0	0
rancol	0	0
raul	0	0
raulc	0	0
rcaballero	0	0
regla	0	0
rene	428255	120364
reynaldo	0	0
rfuentes	142322628	14486259
rizene	0	0
roberto	185247343	1747051
rodolfo	116747685	7413377
rodrigo	0	0
rosa	14657071	1147730
roseli	96388285	12358566
rquintanilla	240652284	8044002
rromero	0	0
salon6	0	0
sarah	0	0
seprot	0	0
servidores	103653922	750542
silvita	0	0
sistemas	0	0
sonia	0	0
susel	64456191	10114195
tamara.glez	0	0
torresvinent	53990211	1675830
urbano	145176860	7442662
veronica	3847921	338451
violeta	0	0
virgilio	0	0
vladimir	0	0
wendy	0	0
xiomara	0	0
yadica	0	0
yadiley	96702806	9729471
yadira	0	0
yahimara	0	0
yailin	0	0
yalina	0	0
yamila	81001033	6818143
yamilacv	0	0
yamilaloli	0	0
yanisel	93761695	7015827
yarmas	34900098	9617249
yborjas	0	0
yelenies	0	0
yency	0	0
ygonzalez	0	0
ygordo	0	0
ygutierrez	58792012	11586492
yisel	3059961	305832
ylima	148605598	8723503
yolaine	0	0
yperez	0	0
yudith	116740092	15604871
yuliet	87834477	10765099
yumara	2260992	277299
yumy	118549830	21463637
yunier	151211023	6102572
yusmari	144738424	12569230
zenia	841162	104814
zulema	0	0
