username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aalfonso	55444948	13446042
aaronvega	148357594	8941688
adalberto	0	0
adamelis	0	0
addys	165492042	6590511
adria	0	0
adrianamg	0	0
aleyda	0	0
alicia	1391524	138374
alida	38764167	2834703
alina	0	0
amarilys	0	0
amarrero	0	0
ambar	0	0
amorgado	0	0
ana.laura	6032877	1071252
anagloria	136449438	9694833
anamayra	0	0
ananidia	176469872	5560200
anapilar	0	0
anaraime	0	0
angelica	0	0
ankumu	151432147	5871845
annerys	0	0
aracelys	0	0
ariadna	24486928	1260449
arismary	0	0
arletys	0	0
armando	0	0
arnaldo	0	0
arodriguez	111865616	21466766
atorrella	0	0
avossirini	0	0
aymara	0	0
ayme	0	0
b.peon	0	0
barbara	0	0
belar	195551685	18848447
belkis	196926066	4749069
berta	0	0
biorkys	0	0
blanca	55314739	2364660
bmazon	70456637	3168057
bobrador	0	0
campos	0	0
carmen	126435457	7413323
carmen.fdez	0	0
cary	17641450	3221379
celeste	24903399	1509698
charly	0	0
chavely	0	0
cvarela	81572717	3192299
dailen	0	0
dainik	0	0
dalia	149827698	5737055
danay	78616434	3047722
danayd	0	0
dayamim	296471646	18129446
dayanira	0	0
daylin	0	0
dbcruz	0	0
deneb	0	0
denys	0	0
dergis	0	0
dgmitjams	0	0
dhernandez	19113695	2972266
diadelis	0	0
dianalay	0	0
dianapr	18044099	1217355
dorian	0	0
dulce	0	0
dunia	170264097	10109476
dunia.glez	0	0
e.suarez	7652651	630354
ealcolea	0	0
eileen	270458030	10365108
elenalaviellez	0	0
eloina	0	0
elsanchez	0	0
elva	0	0
epelaez	0	0
eperez	0	0
erich	123235996	4257654
estrella	0	0
evelyn.mayo	0	0
fabien	0	0
faselis	80696286	3918455
fausto	10548292	1312441
gabriel	0	0
gilberto	0	0
giset	0	0
gretel	2256356	312319932
hendrik	0	0
heredia	0	0
herminio	67069219	4116091
humberto	0	0
idalis	0	0
ileanagr	39977462	2911664
ileanasl	6087853	8568
ileanat	598309	159127
imanuel	0	0
isac	78508325	9207050
ismaray	0	0
ismary	0	0
ivonne	0	0
ivonnerv	40548721	45319562
jacome	366819939	6014947
jacque	0	0
janette	5506268	169803
javi.lopez	0	0
jcarrillo	1422149282	8191273
jcasamayor	0	0
jessica	143205723	14081353
jfalcon	3668603356	46807222
jorge	483952277	23167081
jpuñales	231943249	8475648
jrodriguez	0	0
jvr	141195159	8683468
karen	0	0
karenriera	148802249	8535075
kenia	0	0
ksantos	0	0
laura.rivas	57526409	3038730
lazaro	0	0
lazaro.pina	0	0
lbcubas	44043872	475733
leandy	0	0
leanie	0	0
leonardo	0	0
leyla	16058302	1668848
lgarcia	98331772	12667258
liana	2399323	319425
liena	10116390	3121775
liliana	0	0
liris	0	0
lisandra	627026	383562
lisette	0	0
lisi	0	0
lissy	0	0
llilian	0	0
lmaria	0	0
loida	0	0
lorena	784329584	10625712
luis	113869693	6586100
madai	0	0
magda	13827840	459929
manresa	882083	215156
manuel	0	0
mariam	108671578	8350306
marieladp	0	0
marilyn	0	0
mario	243734582	21369594
marlenin	0	0
maydelin	75777105	2915815
maydelin.ds	0	0
mayelin	9481252	275161
mayelis	0	0
maylen	140153673	11868824
mayra	0	0
mbravo	47938996	1827410
mcreyes	0	0
melba	0	0
mercedes	0	0
merleneg	0	0
meylin	0	0
mhcollazo	0	0
miriam	61488322	2814238
mirta	0	0
mirza	0	0
mylene	0	0
naisy	23898948	687053
natacha	0	0
nestor	0	0
nieves	173710922	11373171
niovis	0	0
noaris	146340619	7753875
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	8223059	556121
olguita	285984	75122
olivia	0	0
orisel	116750504	7435489
orlando	0	0
osmar	17119954	847748
oxana	0	0
piqueras	30397270	3404008
pmando	0	0
rafadiaz	154321666	2968157
raidel	0	0
raisi	24486641	1206097
rancol	0	0
raul	0	0
raulc	0	0
rcaballero	0	0
regla	0	0
rene	0	0
reynaldo	2547488930	19060145
rfuentes	0	0
rizene	0	0
roberto	0	0
rodolfo	84969688	8620996
rodrigo	0	0
rosa	54498525	3458576
roseli	0	0
rquintanilla	0	0
rromero	0	0
salon6	0	0
sarah	144517764	19709672
seprot	0	0
servidores	52528077	755521
sheila	0	0
silvita	0	0
sistemas	5062245	2542
sonia	0	0
susel	0	0
tamara.glez	45472433	4755879
urbano	0	0
veronica	0	0
violeta	67247997	5250908
vladimir	1738907	102115
wendy	0	0
xiomara	0	0
yadica	29945889	1259126
yadiley	78106424	2347275
yadira	0	0
yahimara	0	0
yailin	0	0
yalina	0	0
yamila	0	0
yamilacv	0	0
yamilaloli	0	0
yamira	0	0
yania	0	0
yanisel	0	0
yarmas	1081641	49777
yborjas	0	0
yelenies	0	0
yency	0	0
ygonzalez	305974239	8640630
ygordo	0	0
ygutierrez	29216748	3096033
yisel	0	0
ylima	148051348	9250444
yolaine	6054346	1015878
yperez	38237824	4457914
yudith	144051955	11583384
yuliet	84872022	5055557
yumara	0	0
yumy	25193674	2989317
yunier	148467098	8873664
yusmari	0	0
zenia	12796551	871770
zulema	0	0
