username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	21481113	1392870
adalberto	0	0
adamelis	422423	154892
addys	83649433	12216472
adria	1956968	147042
adrianamg	0	0
aleyda	0	0
alicia	10618566	764608
alida	0	0
alina	60104798	3847240
amarilys	0	0
amarrero	25894870	1736672
ambar	0	0
ana.laura	6341381	914605
anagloria	85496573	6111744
anamayra	298821	49215
ananidia	9590860	4539460
anapilar	1827264	245436
anaraime	0	0
angelica	20350872	1207283
ankumu	24738413	988737
annerys	0	0
antonio	17245	5844
aracelys	141173460	11963970
ariadna	50285800	3271934
arismary	303101227	11519591
arletys	0	0
armando	17044596	1543540
arnaldo	0	0
arodriguez	167066941	363490
atorrella	0	0
avossirini	0	0
aymara	0	0
ayme	0	0
b.peon	8931022	739224
babyr	0	0
barbara	0	0
belar	15767908	1097666
belkis	137024524	5444845
berta	0	0
biorkys	19841371	2270935
blanca	30637721	4568483
bmazon	88467890	5747097
bobrador	0	0
camila	2308493	169193
campos	64883699	3778687
cantero	7726191	793711
carmen	317346082	19939025
carmen.fdez	0	0
carmenevelyn	7471282	689913
cary	10283234	974171
celeste	37533048	14850492
chavely	0	0
csanchez	243557918	8461744
cvarela	30442115	5527236
dailen	0	0
dainik	94853473	10046641
dalia	0	0
dalila	0	0
danay	27673672	438616
danayd	0	0
dayamim	95538776	7569955
dayanira	105778471	9306508
daylin	0	0
dbcruz	0	0
deneb	125453091	5743844
denys	0	0
dergis	0	0
dgmitjams	0	0
dhernandez	0	0
diadelis	33444860	2560998
dianalay	0	0
dianapr	0	0
directora	0	0
dorian	0	0
dulce	0	0
dunia	124228820	7312926
dunia.glez	418651	125744
e.suarez	23109256	2105257
ealcolea	12044935	1126935
eileen	47775529	2900818
elenalaviellez	0	0
elva	510	350
epelaez	0	0
eperez	0	0
erich	3005501	171466
evelyn	0	0
evelyn.mayo	0	0
fabien	79303370	1303510
faselis	87311252	4803822
fausto	8497485	808643
francis	259999202	9656315
gabriel	0	0
gilberto	243932607	3993529
giset	82715827	3412249
gretel	716510	146031
grethel	69394683	3390449
hendrik	0	0
hendrikr	0	0
heredia	3331503	186084
herminio	0	0
humberto	0	0
idalis	0	0
ileanagr	0	0
ileanasl	0	0
ileanat	1618821	209316
imanuel	15233238	1292998
isac	121858590	14688372
ismaray	105371559	7343601
ismary	4699663	101943
ivan.castellanos	0	0
ivonne	0	0
ivonnerv	0	0
jacome	302983	187415
jacque	0	0
janette	60885798	2485820
jasiel	33311818	3118397
javi.lopez	490275603	6063013
jcarrillo	0	0
jcasamayor	64954557	4971662
jfalcon	1666398860	22270920
jorge	122350471	1917075
jpuñales	0	0
jvr	253406156	5509320
karenriera	0	0
kenia	41464276	2715879
ksantos	0	0
laura.rivas	65950320	5216667
lazaro	152703591	4620969
lazaro.pina	239482722	12601377
lbcubas	1103916	87933
leandy	0	0
leanie	0	0
lenier	40483779	3815680
leonardo	90622840	3383340
leyla	24742338	1255529
lgarcia	0	0
liana	1209223	134518
liena	0	0
liliana	259285747	17340651
liris	8677394	87028
lisette	45515410	2682612
lisi	9932106	574703
lissy	0	0
llilian	313182938	1396873
lmaria	0	0
loida	458966	165533
lorena	717458814	19661950
luis	0	0
madai	90218632	6924416
magda	0	0
manresa	0	0
manuel	8973194	1851194
mariam	120526094	6129040
marieladp	0	0
marilyn	0	0
mario	318131556	37781204
marlenin	0	0
marthah	0	0
maydelin	74903966	5620975
maydelin.ds	0	0
mayelin	191143406	10321054
mayelis	0	0
maylen	98347222	5837130
mayra	0	0
mbravo	0	0
mcreyes	35773088	1564629
melba	73414366	4149791
mercedes	0	0
merleneg	41798244	1608575
meylin	201905683	16101307
mfumero	0	0
mhcollazo	41423820	2759383
miriam	29061907	1802309
mirta	0	0
mirza	0	0
mylene	270466	39848
naisy	41552403	2691731
natacha	0	0
nestor	0	0
nieves	79356149	10394044
niovis	0	0
noaris	0	0
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	16338197	1661589
olguita	4733050	470332
orisel	0	0
orlando	0	0
osmar	0	0
oxana	95279217	4529724
piqueras	0	0
pmando	0	0
rachel	0	0
rafadiaz	154671679	2668637
raidel	52319225	2082126
raisi	38073985	2511810
rancol	146586628	6302529
raul	74423524	2368767
raulc	0	0
rcaballero	0	0
regla	852582	72875
rene	441692	123660
reynaldo	0	0
rfuentes	97073518	6501997
rizene	0	0
roberto	0	0
rodolfo	108633460	3804368
rodrigo	0	0
rosa	10926512	719912
roseli	0	0
rquintanilla	392819690	15766153
rromero	0	0
salon6	0	0
sarah	0	0
seprot	0	0
servidores	144403734	1894116
silvita	0	0
sistemas	0	0
sonia	0	0
susel	147683794	7086111
tamara.glez	0	0
torresvinent	123117237	2127303
urbano	0	0
veronica	0	0
violeta	0	0
virgilio	0	0
vladimir	0	0
wendy	124408176	4920020
xiomara	84315990	5471850
yadica	0	0
yadiley	12291858	1957068
yadira	0	0
yahimara	0	0
yailin	0	0
yalina	8523185	195442
yamila	17098255	1494383
yamilacv	15937625	1020453
yamilaloli	0	0
yanisel	0	0
yarmas	419089	72610
yborjas	0	0
yelenies	0	0
yency	0	0
ygonzalez	308075454	6525780
ygordo	5290512	232184
ygutierrez	0	0
yisel	457351	91071
ylima	147765094	9551420
yolaine	61383066	4590778
yperez	0	0
yudith	142021758	15280600
yuliet	128820954	9956621
yumara	3957917	241969
yumy	130179754	9059913
yunier	151453347	5869112
yusmari	95965462	8465490
zenia	62740472	6142933
zulema	0	0
