username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	0	0
adalberto	0	0
adamelis	0	0
addys	292377582	20268847
adria	6131192	312527
adrianamg	0	0
aleyda	68329578	4838959
alicia	55000809	2450527
alina	162080083	9884071
amarilys	0	0
amarrero	0	0
ambar	0	0
ana.laura	4332823	532634
anagloria	131660628	8492832
anamayra	0	0
ananidia	0	0
anapilar	198393	46147
angelica	0	0
ankumu	0	0
annerys	0	0
antonio	0	0
aracelys	0	0
ariadna	56405338	2505930
arismary	128474814	7035692
arletys	137306156	11745020
armando	280916092	6443641
arnaldo	48142796	3178648
arodriguez	108044974	337072
atorrella	0	0
avossirini	0	0
aymara	99374500	8535873
ayme	0	0
b.peon	0	0
barbara	0	0
belar	91638484	11205486
belkis	477175	206066
berta	10635898	100913
biorkys	0	0
blanca	447043	144335
bmazon	141696447	10205816
bobrador	0	0
camila	1688818	103661
campos	23325373	1921550
canfux	78194743	6658841
carmen	364012364	13311872
carmen.fdez	0	0
carmenevelyn	30292732	11853659
cary	9938092	1321045
celeste	33337533	16856464
chavely	0	0
csanchez	157639597	6203974
cvarela	2580599	957138
dailen	0	0
dainik	0	0
dalia	77534039	3833387
dalila	0	0
danay	54727088	724797
danayd	21054412	3110007
dayamim	63199615	5342751
dayanira	31962156	3963465
daylin	0	0
dbcruz	5053570	602370
deneb	84120370	5885074
denys	0	0
dergis	271746170	18942883
dhernandez	0	0
diadelis	175413251	6019412
dianalay	166417349	16970179
dianapr	0	0
directora	0	0
dorian	42378014	6881583
dulce	0	0
dunia	303902525	6821028
dunia.glez	0	0
e.suarez	512615729	11678271
ealcolea	175636477	2453976
eileen	104269182	6388552
elva	0	0
epelaez	50980315	2305458
eperez	11826418	837607
erich	235092791	16045991
evelyn	0	0
evelyn.mayo	0	0
fabien	2980985	152217
faselis	56033048	1756045
fausto	1047378109	1260067
francis	0	0
frank.tb	91212991	7663630
gilberto	130653610	1028604
giset	63712958	4563164
gretel	542921	107519
grethel	0	0
hendrik	0	0
hendrikr	0	0
heredia	68476813	549602
humberto	0	0
idalis	0	0
ileanagr	0	0
ileanasl	115178844	8661910
ileanat	93436313	9430715
imanuel	0	0
isac	0	0
ismaray	78641908	5741210
ismary	3541547	237820
ivan.castellanos	0	0
ivonne	25547149	2553124
ivonnerv	39417961	3061898
jacome	0	0
jacque	0	0
janette	0	0
jasiel	25535764	1590270
javi.lopez	0	0
jcarrillo	262785495	3850670
jcasamayor	307174192	7167325
jfalcon	1089706769	30925943
jorge	342597131	16322555
jpuñales	206632155	4978910
jvr	39057843	1619126
karenriera	3009603	80306
kenia	0	0
ksantos	0	0
laura.rivas	33706208	3778647
lazaro	0	0
lazaro.pina	0	0
lbcubas	3757291	400417
leandy	0	0
leanie	0	0
lenier	0	0
leonardo	309340327	5233900
leyla	130557941	10785838
lgarcia	80642652	9525955
liana	5215648	463345
liena	3714169	409596
liliana	0	0
liris	0	0
lisette	630137174	24389449
lisi	0	0
lissy	0	0
llilian	12081616	4112332
lmaria	0	0
loida	1890007	376459
lorena	0	0
luis	197848549	13160188
madai	56525944	2526542
magda	0	0
manresa	0	0
manuel	0	0
mariam	0	0
marieladp	0	0
marilyn	974583	70860
mario	186727145	14802432
marlenin	0	0
marlon	74251585	5464710
marthah	153661919	3631705
maydelin	60212907	3818966
maydelin.ds	0	0
mayelin	295221619	16527442
mayelis	0	0
maylen	0	0
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	0	0
melissa	112810736	25832448
mercedes	0	0
merleneg	0	0
meylin	263618619	19931820
mfumero	0	0
mhcollazo	0	0
miriam	41894357	1591803
mirta	0	0
mirza	0	0
mylene	0	0
naisy	0	0
natacha	23516242	3050211
nestor	19434445	1262164
nieves	0	0
niovis	2100134	281442
noaris	106683073	5978405
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	231294452	12174091
olguita	166970	45110
orisel	0	0
orlando	0	0
oxana	0	0
piqueras	0	0
pmando	0	0
rachel	26061643	1043174
rafadiaz	155436824	1880763
raidel	72944532	3124158
raisi	14686803	1256265
rancol	329530	43965
raul	83398150	2747866
raulc	0	0
rcaballero	0	0
regla	3184928	213927
rene	0	0
rfuentes	0	0
rizene	0	0
roberto	126368306	4087404
rodolfo	30712065	6519524
rodrigo	312763070	1823551
rosa	38348427	1931829
roseli	68054205	2215337
rquintanilla	395835089	15318381
rromero	198464267	26193190
salon6	0	0
sarah	0	0
seprot	0	0
servidores	179574499	245781
silvita	7490206	1637455
sistemas	0	0
somja	0	0
sonia	0	0
susel	33808521	2987797
tamara.glez	73392683	3009792
torresvinent	100681058	7837275
urbano	157788290	6011792
veronica	0	0
violeta	35110505	2798311
virgilio	1677328	223739
vladimir	0	0
wendy	0	0
xiomara	0	0
yadica	19500756	1414345
yadiley	86814524	1603480
yadira	26260499	1380645
yahimara	0	0
yailin	0	0
yalina	312629778	2004057
yamila	31920930	860656
yamilacv	0	0
yamilaloli	0	0
yanisel	0	0
yarmas	999705	97197
yborjas	0	0
yelenies	0	0
yency	0	0
ygonzalez	0	0
ygordo	19901691	216581
ygutierrez	20354714	419887
yisel	0	0
ylima	17338406	1948333
yolaine	241269422	10731600
yperez	0	0
yudith	23990658	4738771
yuliet	88082234	8726890
yumara	0	0
yumy	148139741	25424972
yunier	151412657	5881194
yusmari	117332354	7085791
zenia	93877506	8094997
zulema	18445527	1848233
orlandos	2715131	92161
camilav	0	0
