username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	151195657	6105199
adalberto	54767577	5535010
adamelis	0	0
addys	204872331	18388378
adria	0	0
adrianamg	136191480	8877678
aleyda	131815071	3920292
alicia	806	890
alida	139968749	5662874
alina	0	0
amarilys	0	0
amarrero	0	0
ambar	201569613	14490355
ana.laura	541510	103548
anagloria	110337049	14919231
anamayra	0	0
ananidia	119083131	17983098
anapilar	0	0
anaraime	6060620	1660905
angelica	0	0
ankumu	2313591	106456
annerys	88047039	5512552
antonio	0	0
aracelys	153429824	12316062
ariadna	0	0
arismary	139165636	1423592
arletys	0	0
armando	0	0
arnaldo	0	0
arodriguez	138312804	342485
atorrella	62631737	420456
avossirini	0	0
aymara	268316723	7260702
ayme	17827710	1514650
b.peon	0	0
barbara	0	0
belar	0	0
belkis	117149027	2903996
berta	0	0
biorkys	323949	88579
blanca	922185	240844
bmazon	0	0
bobrador	0	0
campos	164599733	12000096
cantero	1557856	71342
carmen	0	0
carmen.fdez	113044236	7409015
carmenevelyn	13449173	980096
cary	4190085	422821
celeste	0	0
charly	0	0
chavely	0	0
csanchez	262133380	12261814
cvarela	114762713	10244947
dailen	0	0
dainik	0	0
dalia	58493649	3630028
dalila	0	0
danay	177832718	8124026
danayd	0	0
dayamim	0	0
dayanira	97972546	8626233
daylin	5227164	366317
dbcruz	0	0
deneb	0	0
denys	148885537	8456822
dergis	0	0
dgmitjams	0	0
dhernandez	0	0
diadelis	0	0
dianalay	0	0
dianapr	84811381	503243
directora	0	0
dorian	0	0
dulce	0	0
dunia	47143387	3114325
dunia.glez	56276895	1146797
e.suarez	3602860	720406
ealcolea	16797606	2613319
eileen	80795614	11879422
elenalaviellez	17872650	1544928
elva	0	0
epelaez	0	0
eperez	0	0
erich	0	0
evelyn	35700753	1040842
evelyn.mayo	41001298	2650561
fabien	65314610	3681636
faselis	90967886	3995659
fausto	57422384	5907502
gabriel	0	0
gilberto	0	0
giset	0	0
gretel	13350211	3325366
grethel	104634046	5014439
hendrik	311250314	3373189
heredia	0	0
herminio	0	0
humberto	0	0
idalis	0	0
ileanagr	1833036	224679
ileanasl	61457250	3085330
ileanat	0	0
imanuel	0	0
isac	139497607	27084308
ismaray	135868072	19130731
ismary	0	0
ivan.castellanos	0	0
ivonne	0	0
ivonnerv	0	0
jacome	0	0
jacque	189708754	11330186
janette	509	351
javi.lopez	0	0
jcarrillo	93260202	3195089
jcasamayor	0	0
jfalcon	4838146504	55847367
jorge	0	0
jpuñales	272504444	39736152
jrodriguez	312739995	1833561
jvr	195984386	26016201
karenriera	0	0
kenia	50334584	2393045
ksantos	0	0
laura.rivas	80562700	5744330
lazaro	0	0
lazaro.pina	292150260	11233445
lbcubas	83190990	8029265
leandy	0	0
leanie	0	0
lenier	0	0
leonardo	0	0
leyla	225301527	22944260
lgarcia	236304639	21927019
liana	0	0
liena	0	0
liliana	0	0
liris	0	0
lisette	178865380	9938334
lisi	184383949	11331541
lissy	0	0
llilian	0	0
lmaria	107179633	7415397
loida	0	0
lorena	0	0
luis	26054268	8096488
madai	0	0
magda	4161612	245849
manresa	17326065	892546
manuel	0	0
mariam	36835208	4273037
marieladp	0	0
marilyn	0	0
mario	157041811	14250396
marlenin	0	0
marthah	0	0
maydelin	296118597	18503347
maydelin.ds	0	0
mayelin	3343788	224708
mayelis	0	0
maylen	0	0
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	0	0
mercedes	0	0
merleneg	236495735	9455445
meylin	44936213	3800490
mhcollazo	0	0
miriam	73420230	5218362
mirta	93683658	1377570
mirza	60466300	301688
mylene	11401150	887537
naisy	4978078	346086
natacha	0	0
nestor	199332	21721
nieves	74915846	8185542
niovis	0	0
noaris	0	0
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	3920195	158614
olguita	0	0
orisel	0	0
orlando	1061250	59520
osmar	0	0
oxana	45150224	3124442
piqueras	0	0
pmando	0	0
rafadiaz	155068002	2277872
raidel	0	0
raisi	0	0
rancol	0	0
raul	0	0
raulc	48633324	6288073
rcaballero	0	0
regla	0	0
rene	537458	127608
reynaldo	516888770	7399377
rfuentes	104289694	9129092
rizene	0	0
roberto	222168299	5434398
rodolfo	36009477	9463976
rodrigo	186793202	8888866
rosa	39931257	2673693
roseli	24495539	2603125
rquintanilla	312500942	2093254
rromero	0	0
salon6	0	0
sarah	0	0
seprot	0	0
servidores	101802970	760585
silvita	0	0
sistemas	0	0
sonia	0	0
susel	102236778	16593047
tamara.glez	56670162	4895873
torresvinent	0	0
urbano	0	0
veronica	0	0
violeta	0	0
virgilio	48381	14571
vladimir	0	0
wendy	0	0
xiomara	0	0
yadica	42485234	2738167
yadiley	200382819	14262111
yadira	120349564	6464594
yahimara	35393112	1910455
yailin	0	0
yalina	0	0
yamila	1046641	248012
yamilacv	0	0
yamilaloli	0	0
yanisel	0	0
yarmas	0	0
yborjas	86243683	1326763
yelenies	164083168	5231204
yency	0	0
ygonzalez	0	0
ygordo	0	0
ygutierrez	0	0
yisel	0	0
ylima	147522767	9771333
yolaine	18912121	1272507
yperez	147254735	9302342
yudith	130536329	17038332
yuliet	60507102	7791555
yumara	2309756	176168
yumy	67171773	15609779
yunier	153818350	3520971
yusmari	149443805	7875453
zenia	0	0
zulema	8458563	1002614
