username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	0	0
adalberto	88576394	349506
adamelis	0	0
addys	0	0
adria	3754967	318306
adrianamg	0	0
aleyda	6871249	717312
alicia	0	0
alida	463443136	4741987
alina	3066241	170801
amarilys	0	0
amarrero	28809197	3145834
ambar	100326193	7864266
amorgado	0	0
ana.laura	37259568	2450072
anagloria	23979654	2442154
anamayra	0	0
ananidia	0	0
anapilar	10520851	699260
anaraime	0	0
angelica	38302958	3815106
ankumu	149594340	6915376
annerys	0	0
antonio	0	0
aracelys	0	0
ariadna	0	0
arismary	136768554	2630313
arletys	0	0
armando	1945673	204337
arnaldo	0	0
arodriguez	221256076	359408
atorrella	0	0
avossirini	0	0
aymara	0	0
ayme	48424476	6553045
b.peon	0	0
barbara	0	0
belar	417153015	26634924
belkis	0	0
berta	0	0
biorkys	0	0
blanca	14856902	1258735
bmazon	0	0
bobrador	0	0
campos	277394860	18121126
cantero	230860	44915
carmen	1056487959	40397028
carmen.fdez	0	0
carmenevelyn	68243536	3670841
cary	0	0
celeste	17522306	9456730
charly	0	0
chavely	0	0
csanchez	199824747	8566202
cvarela	0	0
dailen	0	0
dainik	179510699	18596335
dalia	0	0
dalila	0	0
danay	1239615732	5120816
danayd	0	0
dayamim	0	0
dayanira	119035946	14127736
daylin	0	0
dbcruz	141749081	15599955
deneb	80149711	2546951
denys	149841087	7464310
dergis	146502626	18786554
dgmitjams	0	0
dhernandez	0	0
diadelis	132059485	11777128
dianalay	245452605	25646279
dianapr	509	351
directora	0	0
dorian	0	0
dulce	0	0
dunia	92187234	8451342
dunia.glez	0	0
e.suarez	14430343	3673874
ealcolea	0	0
eileen	300583464	13990168
elenalaviellez	20959390	1821283
elva	8375363	287047
epelaez	0	0
eperez	74945440	3818740
erich	71325326	5970581
evelyn	202388	41806
evelyn.mayo	0	0
fabien	25182769	649959
faselis	0	0
fausto	29053539	4207076
gabriel	0	0
gilberto	264844922	5070314
giset	42425124	7931755
gretel	2089729	160010
grethel	0	0
hendrik	0	0
heredia	67057700	2983749
herminio	0	0
humberto	0	0
idalis	0	0
ileanagr	0	0
ileanasl	0	0
ileanat	0	0
imanuel	0	0
isac	0	0
ismaray	240705	70921
ismary	43467227	4706467
ivan.castellanos	1492863	70108
ivonne	0	0
ivonnerv	83004682	6510008
jacome	0	0
jacque	0	0
janette	0	0
javi.lopez	606792372	29635601
jcarrillo	1563329758	30164732
jcasamayor	84183733	5003558
jfalcon	943319172	14888671
jorge	0	0
jpuñales	64330080	3377175
jrodriguez	207667024	1084169
jvr	20348303	1982680
karenriera	0	0
kenia	0	0
ksantos	69999857	3763104
laura.rivas	316094	83901
lazaro	0	0
lazaro.pina	120507031	9021603
lbcubas	1020139	124905
leandy	309689278	4948453
leanie	202175757	27709214
lenier	113816036	5137193
leonardo	0	0
leyla	0	0
lgarcia	0	0
liana	3085379	2835484
liena	11119983	1799448
liliana	284095252	30498331
liris	0	0
lisette	274563607	6522326
lisi	0	0
lissy	0	0
llilian	722103	117486
lmaria	253212458	23298110
loida	0	0
lorena	2316078041	40511624
luis	132306068	9219803
madai	0	0
magda	0	0
manresa	8271951	488085
manuel	0	0
mariam	8378498	3181129
marieladp	0	0
marilyn	111005097	3406214
mario	0	0
marlenin	0	0
marthah	0	0
maydelin	0	0
maydelin.ds	0	0
mayelin	0	0
mayelis	0	0
maylen	167577209	12520455
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	0	0
mercedes	0	0
merleneg	0	0
meylin	58052104	3717012
mhcollazo	20442247	1679877
miriam	142682451	11709722
mirta	124465495	1706735
mirza	0	0
mylene	0	0
naisy	2916100	202432
natacha	0	0
nestor	0	0
nieves	127076720	9487007
niovis	10238235	465903
noaris	30098577	2530364
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	122690947	6850363
olguita	71955301	12237369
orisel	148400527	6968065
orlando	0	0
osmar	92760827	1162100
oxana	0	0
piqueras	0	0
pmando	0	0
rafadiaz	154182776	3135039
raidel	0	0
raisi	59670128	5533784
rancol	0	0
raul	136109619	6328794
raulc	0	0
rcaballero	0	0
regla	0	0
rene	310113669	4524353
reynaldo	501328945	3941571
rfuentes	0	0
rizene	0	0
roberto	313720463	859215
rodolfo	113262593	10535214
rodrigo	0	0
rosa	13857662	294774
roseli	156043248	15490705
rquintanilla	306424307	8154896
rromero	0	0
salon6	0	0
sarah	0	0
seprot	0	0
servidores	130108846	751918
silvita	36347157	786876
sistemas	0	0
sonia	0	0
susel	49669703	7313867
tamara.glez	0	0
urbano	186965242	7405254
veronica	2765414	586753
violeta	266088053	57608893
virgilio	0	0
vladimir	0	0
wendy	43672470	337781
xiomara	0	0
yadica	67342296	3428667
yadiley	0	0
yadira	0	0
yahimara	0	0
yailin	0	0
yalina	0	0
yamila	0	0
yamilacv	0	0
yamilaloli	1352252	190769
yanisel	99859059	12198487
yarmas	0	0
yborjas	0	0
yelenies	0	0
yency	0	0
ygonzalez	262067312	12887135
ygordo	0	0
ygutierrez	0	0
yisel	0	0
ylima	138845165	18480195
yolaine	0	0
yperez	0	0
yudith	140234578	17103804
yuliet	25973050	2602946
yumara	509	351
yumy	19458192	1208423
yunier	140810918	16478166
yusmari	132475333	9462728
zenia	0	0
zulema	0	0
