username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aalfonso	0	0
aaronvega	0	0
adalberto	0	0
adamelis	790561	169094
addys	11069190	177575
adria	0	0
adrianamg	123831707	5423121
aleyda	105695855	3463683
alicia	2991440	368869
alida	6091966	376696
alina	0	0
amarilys	0	0
amarrero	0	0
ambar	190914779	9338601
amorgado	0	0
ana.laura	33519977	1830931
anagloria	104686398	6478014
anamayra	0	0
ananidia	0	0
anapilar	13557048	494468
anaraime	0	0
angelica	0	0
ankumu	0	0
annerys	75651350	3211945
aracelys	293995821	20612480
ariadna	39073984	2575660
arismary	295014715	19618914
arletys	28646193	936179
armando	156533255	5374955
arnaldo	0	0
arodriguez	221258512	1165430
atorrella	0	0
avossirini	0	0
aymara	1281893	89479
ayme	63313580	4011586
b.peon	0	0
barbara	0	0
belar	0	0
belkis	6314233	302225
berta	86345853	3512612
biorkys	23985303	1319396
blanca	0	0
bmazon	0	0
bobrador	0	0
campos	94965164	12495967
carmen	0	0
carmen.fdez	0	0
cary	0	0
celeste	0	0
charly	153395904	3947636
chavely	0	0
cvarela	0	0
dailen	0	0
dainik	103883068	4888552
dalia	0	0
danay	70821367	578591
danayd	42995217	1848062
dayamim	0	0
dayanira	15727020	1024943
daylin	340	351
dbcruz	0	0
deneb	300451820	14172966
denys	0	0
dergis	45301653	3527905
dgmitjams	83607122	968754
dhernandez	0	0
diadelis	453229232	71097185
dianalay	0	0
dianapr	0	0
dorian	0	0
dulce	0	0
dunia	0	0
dunia.glez	0	0
e.suarez	20344376	1241107
ealcolea	0	0
eileen	148086496	7691174
elenalaviellez	945655	121111
eloina	0	0
elsanchez	39535151	1422334
elva	0	0
epelaez	0	0
eperez	308815016	5789975
erich	1436201	48465
estrella	0	0
evelyn.mayo	218961291	3190853
fabien	130497328	2411039
faselis	54524672	2982746
fausto	55298180	1269994
gabriel	111272077	1346242
gilberto	244879739	1531723
giset	0	0
gretel	13875332	1411387
hendrik	0	0
heredia	1662531	202337
herminio	40804642	4858576
humberto	0	0
idalis	0	0
ileanagr	456676	109131
ileanasl	0	0
ileanat	15329463	435661
imanuel	0	0
isac	166582804	15299421
ismaray	31147860	5444470
ismary	73009053	3067823
ivonne	340	351
ivonnerv	0	0
jacome	0	0
jacque	0	0
janette	0	0
javi.lopez	1905069415	13998581
jcarrillo	2747894645	17134205
jcasamayor	312351521	2257622
jessica	71107159	1511210
jfalcon	0	0
jorge	64651274	1309520
jpuñales	511117305	13182552
jrodriguez	312090238	2546673
jvr	201964520	13415661
karen	0	0
karenriera	0	0
kenia	0	0
ksantos	0	0
laura.rivas	0	0
lazaro	0	0
lazaro.pina	0	0
lbcubas	56156681	2890100
leandy	207655430	5748080
leanie	44702505	5336857
leonardo	0	0
leyla	11232079	939029
lgarcia	0	0
liana	2480360	241542
liena	76848060	8446838
liliana	0	0
liris	0	0
lisandra	38575278	273136
lisette	53178825	2904279
lisi	0	0
lissy	0	0
llilian	0	0
lmaria	0	0
loida	0	0
lorena	0	0
luis	16174403	884376
madai	0	0
magda	0	0
manresa	0	0
manuel	0	0
mariam	107373861	7921059
marieladp	0	0
marilyn	0	0
mario	484401807	39941120
marlenin	0	0
maydelin	14647548	956294
maydelin.ds	0	0
mayelin	0	0
mayelis	0	0
maylen	297295099	17289717
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	960222	101592
mercedes	0	0
merleneg	0	0
meylin	46802610	3652057
mhcollazo	0	0
miriam	38096396	2263249
mirta	0	0
mirza	0	0
mylene	545848	84615
naisy	0	0
natacha	0	0
nestor	0	0
nieves	183992130	12681759
niovis	340	351
noaris	126793824	8764515
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	24761276	632447
olguita	6455671	746926
olivia	50527107	6363413
orisel	0	0
orlando	0	0
osmar	0	0
oxana	0	0
piqueras	27378122	3279062
pmando	0	0
rafadiaz	152505749	4784090
raidel	0	0
raisi	83355933	5848725
rancol	108597526	5599007
raul	0	0
raulc	0	0
rcaballero	0	0
regla	32211515	1723740
rene	584390	139670
reynaldo	137011922	30241060
rfuentes	0	0
rizene	0	0
roberto	253445184	3526715
rodolfo	0	0
rodrigo	0	0
rosa	340	351
roseli	0	0
rquintanilla	0	0
rromero	62997617	3008295
salon6	0	0
sarah	271884	10898
seprot	0	0
servidores	86593139	767168
sheila	0	0
silvita	0	0
sistemas	4602893	2263
sonia	0	0
susel	181138684	17034642
tamara.glez	0	0
urbano	0	0
veronica	0	0
violeta	42238345	2376756
vladimir	0	0
wendy	4077310	225385
xiomara	93822112	2099539
yadica	143731320	13562387
yadiley	165810083	6680391
yadira	0	0
yahimara	30144343	4299892
yailin	419734	68263
yalina	0	0
yamila	0	0
yamilacv	0	0
yamilaloli	0	0
yamira	0	0
yania	39511472	657690
yanisel	0	0
yarmas	0	0
yborjas	0	0
yelenies	0	0
yency	0	0
ygonzalez	302460407	12177178
ygordo	69943714	3624756
ygutierrez	9069160	141881
yisel	0	0
ylima	0	0
yolaine	79872047	4262053
yperez	0	0
yudith	0	0
yuliet	0	0
yumara	12867500	523627
yumy	0	0
yunier	152512529	4825775
yusmari	0	0
zenia	5509391	201023
zulema	0	0
