username	received(byte)	sent(byte)
zulema	25078448	2101995
zenia	5929674	6535816
yusmari	105846173	19202067
yunier	141871505	15467815
yumy	0	0
yumara	0	0
yuliet	0	0
yudith	144741157	12562633
yperez	300564806	14066583
yolaine	25053413	2955989
ylima	41284497	3341430
yisel	0	0
ygutierrez	215829490	5996754
ygordo	0	0
ygonzalez	0	0
yency	0	0
yelenies	198634677	512847356
yborjas	0	0
yarmas	0	0
yanisel	0	0
yamilaloli	0	0
yamilacv	0	0
yamila	132057496	10362076
yalina	0	0
yailin	0	0
yahimara	0	0
yadira	13518702	2390172
yadiley	0	0
yadica	0	0
xiomara	0	0
wendy	0	0
vladimir	0	0
virgilio	0	0
violeta	262079580	21292128
veronica	0	0
urbano	0	0
torresvinent	151370909	5933074
tamara.glez	62484250	14257102
susel	0	0
sonia	0	0
somja	0	0
sistemas	0	0
silvita	0	0
servidores	52430541	849323
seprot	0	0
segurmatica	420016	4507
sarah	0	0
salon6	0	0
rromero	0	0
rquintanilla	496817370	27480135
roseli	222718289	25511709
rosa	22484635	1498556
rodrigo	106228021	5136895
rodolfo	0	0
roberto	0	0
rfuentes	0	0
rene	0	0
regla	15368806	2257329
raulc	17229187	375828
raul	28829921	1414673
rancol	21189664	5629515
raisi	12391376	337200
raidel	37638137	3616097
rafadiaz	155641011	1651091
rachel	5083943	191889
racarreras	0	0
pmando	0	0
piqueras	23981614	4050836
oxana	0	0
orlandos	0	0
orlando	2757119	114436
orisel	0	0
olguita	10891782	1328665
olga	217047052	18293064
oisis	0	0
ocastro	0	0
obriel	0	0
nod32	0	0
noaris	0	0
niovis	0	0
nieves	284121864	30508245
nestor	0	0
natacha	0	0
naisy	125377230	7570923
mylene	0	0
mirza	0	0
mirta	0	0
miriam	107451830	5660846
mhcollazo	0	0
mfumero	104012451	5856306
meylin	296244202	18343844
merleneg	303704080	10877028
mercedes	0	0
melissa	138568136	18723511
melba	1529341	498865
mcreyes	28776999	2519493
mbravo	0	0
mayra	0	0
maylen	0	0
mayelis	8846360	83242
maydelin.ds	64197670	13014709
maydelin	42697084	8010157
marthah	156452738	844177
marlon	154099453	3226368
marlenin	0	0
mario	0	0
marilyn	66332156	3488595
marieladp	0	0
mariam	51328352	2877824
manuel	0	0
manresa	29093971	1257090
magda	0	0
madai	0	0
luis	75664791	7375010
lorena	0	0
loida	0	0
lmaria	0	0
llilian	0	0
lissy	0	0
lisi	260942436	5009149
lisette	11138361	618428
liris	312410377	653398
liliana	0	0
liena	4189188	1272663
liana	265829	79606
lgarcia	144912515	10342485
leyla	0	0
leonardo	312016156	2599540
lenier	0	0
leanie	295353391	19229384
leandy	0	0
lbcubas	0	0
lazaro.pina	298181113	16437584
lazaro	0	0
laura.rivas	0	0
ksantos	0	0
kenia	0	0
karenriera	0	0
jvr	0	0
jpuñales	305723463	8901504
jorge	103283832	3218805
jfalcon	2730851591	61963571
jcasamayor	0	0
jcarrillo	0	0
javi.lopez	211116459	7581916
jasiel	0	0
janette	263675	68640
jacque	0	0
jacome	0	0
ivonnerv	34430413	2230635
ivonne	0	0
ivan.castellanos	0	0
ismary	0	0
ismaray	149391991	7907828
isac	0	0
imanuel	0	0
ileanat	1328603	935953
ileanasl	0	0
ileanagr	59109181	3932970
idalis	0	0
humberto	0	0
heredia	0	0
hendrikr	0	0
hendrik	0	0
grethel	28655598	1184015
gretel	890642	131979
giset	48484086	6524670
gilberto	303080103	11505056
frank.tb	0	0
francis	0	0
fausto	0	0
faselis	128264143	8361361
fabien	0	0
evelyn.mayo	0	0
evelyn	0	0
erich	257910975	18357511
eperez	0	0
epelaez	0	0
elva	21735900	1201670
eileen	0	0
ealcolea	136775697	2752171
e.suarez	17789422	904775
dunia.glez	0	0
dunia	72598281	6005974
dulce	0	0
dorian	0	0
directora	0	0
dianapr	0	0
dianalay	598189812	37163030
diadelis	37323090	3712705
dhernandez	0	0
dergis	0	0
denys	42898137	1637008
deneb	67763143	7753580
dbcruz	0	0
daylin	1629966	93799
dayanira	44760036	4442164
dayamim	207069978	19101955
danayd	0	0
danay	82086289	9068810
dalila	0	0
dalia	294735140	19880950
dainik	0	0
dailen	116018939	15159154
cvarela	12799247	3352724
csanchez	0	0
chavely	0	0
celeste	0	0
cary	69784727	2528561
carmenevelyn	8706403	458632
carmen.fdez	0	0
carmen	862153102	4873900
canfux	87391055	7405228
campos	0	0
camilav	0	0
camila	0	0
bobrador	0	0
bmazon	0	0
blanca	357458	82900
biorkys	0	0
berta	0	0
belkis	124783902	1899617
belar	56715198	6398610
barbara	0	0
b.peon	0	0
ayme	69499789	3386185
aymara	0	0
avossirini	0	0
atorrella	0	0
arodriguez	103533898	291833
arnaldo	0	0
armando	0	0
arletys	0	0
arismary	0	0
ariadna	0	0
aracelys	33574273	46564812
antonio	0	0
annerys	0	0
ankumu	154435975	2850568
angelica	0	0
anapilar	0	0
ananidia	23813849	912748
anamayra	0	0
anagloria	0	0
ana.laura	0	0
ambar	297496217	17104560
amarrero	0	0
amarilys	0	0
alina	0	0
alicia	0	0
aleyda	0	0
adrianamg	0	0
adria	6883148	112119
addys	0	0
adamelis	0	0
adalberto	0	0
aaronvega	0	0
00-Tecnicos	0	0
00-SUBDIRECTORES	0	0
00-JDpto	0	0
00-Especialistas	0	0
