username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	64840549	4780684
adalberto	0	0
adamelis	111717953	10954069
addys	131028542	11589647
adria	1330526	334561
adrianamg	110772980	4344379
aleyda	121523141	8153643
alicia	166507740	7447186
alina	69058022	5568129
amarilys	0	0
ambar	295314886	16443194
ana.laura	648078	334753
anagloria	66776885	5438913
anamayra	0	0
ananidia	83728190	7798525
anapilar	0	0
angelica	0	0
ankumu	72967851	3337401
annerys	0	0
antonio	823832	147653
aracelys	66210588	40027443
ariadna	0	0
arismary	0	0
arletys	188477059	3422130
armando	37759614	2689424
arnaldo	0	0
arodriguez	43511	46099
atorrella	20224976	2057353
avossirini	0	0
aymara	149724868	3054795
ayme	99261012	2360021
b.peon	312560072	2036337
barbara	0	0
belar	0	0
belkis	2420951	209122
berta	3659887	175514
biorkys	58566	76493
blanca	262457	60069
bmazon	0	0
bobrador	0	0
camila	0	0
camilav	0	0
campos	0	0
canfux	141795298	15491260
carmen	0	0
carmen.fdez	9281012	576891
carmenevelyn	76856489	4260088
cary	63122973	372950
celeste	136223031	17457493
chavely	0	0
csanchez	101278276	2940899
cvarela	0	0
dailen	5991169	493510
dalia	0	0
dalila	57429777	2825722
danay	384480066	3425692
danayd	0	0
dayamim	244746713	26081638
dayanira	68488043	5059039
daylin	0	0
dbcruz	81527076	13272439
deneb	88364035	7412017
denys	0	0
dergis	0	0
dhernandez	0	0
diadelis	69905995	6403458
dianalay	0	0
dianapr	35675785	2273518
directora	0	0
dorian	0	0
dulce	0	0
dunia	0	0
dunia.glez	0	0
e.suarez	15557544	2375926
ealcolea	0	0
eileen	206491461	15217438
elva	0	0
epelaez	0	0
eperez	39267747	1811887
erich	23045843	2008766
evelyn	0	0
evelyn.mayo	0	0
fabien	0	0
faselis	53109005	3015150
fausto	1046064832	2563193
francis	91691812	1782244
frank.tb	142316134	15004119
gilberto	0	0
giset	93832025	5233366
gretel	0	0
grethel	25756726	748790
hendrik	0	0
hendrikr	0	0
heredia	64571246	3645427
humberto	0	0
idalis	0	0
ileanagr	0	0
ileanasl	0	0
ileanat	18393867	1765410
imanuel	112191058	2796793
isac	94262117	10041931
ismaray	152316777	4972782
ismary	75888632	754077
ivan.castellanos	0	0
ivonne	4417648	366513
ivonnerv	0	0
jacome	186901695	4208059
jacque	0	0
janette	0	0
jasiel	12827526	833860
javi.lopez	0	0
jcarrillo	0	0
jcasamayor	0	0
jfalcon	1153528675	18130602
jorge	0	0
jpuñales	304654033	9945255
jvr	182948178	16686945
karenriera	0	0
kenia	0	0
ksantos	0	0
laura.rivas	191814957	11134763
lazaro	0	0
lazaro.pina	199163507	10062999
lbcubas	0	0
leandy	0	0
leanie	0	0
lenier	0	0
leonardo	142545896	4197088
leyla	0	0
lgarcia	239648354	18235751
liana	13519365	426139
liena	0	0
liliana	73870914	7570950
liris	137403314	586005
lisette	786534013	9360466
lisi	258864596	2228005
lissy	0	0
llilian	11240562	571106
lmaria	0	0
loida	527595	164676
lorena	761602032	16118310
luis	143582744	9151616
madai	294122378	20500649
magda	0	0
manresa	71571572	5218864
manuel	0	0
mariam	14236836	1687612
marieladp	0	0
marilyn	0	0
mario	110073336	2010721
marlenin	0	0
marlon	0	0
marthah	0	0
maydelin	1024942	361893
maydelin.ds	0	0
mayelis	0	0
maylen	0	0
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	200296968	7471392
melissa	107361263	11281111
mercedes	0	0
merleneg	0	0
mfumero	150140463	7188947
mhcollazo	0	0
miriam	52570848	4053391
mirta	252802430	2986629
mirza	29703965	2098851
mylene	456220	48102
naisy	170255490	9418568
natacha	80804278	616422
nestor	0	0
nieves	189310056	18537883
niovis	27735063	1508287
noaris	0	0
nod32	0	0
obriel	5449801	472061
ocastro	0	0
oisis	14744993	3511759
olga	0	0
olguita	59386217	2154117
orisel	0	0
orlando	0	0
orlandos	0	0
oxana	0	0
piqueras	147748518	9546018
pmando	0	0
racarreras	0	0
rachel	13965399	1848618
rafadiaz	155136600	2188781
raidel	26895720	1324896
raisi	172010273	14260401
rancol	55186101	4684748
raul	118724529	4509965
raulc	18343008	549892
regla	8341090	1456481
rene	719904	78293
rfuentes	0	0
roberto	107935531	6778612
rodolfo	88688688	4625082
rodrigo	0	0
rosa	57706862	3624270
roseli	0	0
rquintanilla	1077820845	24124123
rromero	222062992	4564881
salon6	0	0
sarah	0	0
segurmatica	580627	5613
seprot	0	0
servidores	103891413	264484
silvita	0	0
sistemas	0	0
somja	186997653	6427975
sonia	0	0
susel	147257251	10942871
tamara.glez	0	0
torresvinent	154103437	3185064
urbano	0	0
veronica	10981255	639342
violeta	336961936	20088245
virgilio	0	0
vladimir	0	0
wendy	0	0
xiomara	0	0
yadica	108736502	5983926
yadiley	2175378	300011
yadira	2387244	244745
yahimara	0	0
yailin	0	0
yalina	4039861	251495
yamila	72355020	4932578
yamilacv	0	0
yamilaloli	559106	101984
yanisel	0	0
yarmas	1643048	165892
yborjas	0	0
yelenies	0	0
yency	149934051	7366685
ygonzalez	300151460	14442932
ygordo	0	0
ygutierrez	2357749	248446
yisel	0	0
ylima	148719135	8584766
yolaine	0	0
yperez	0	0
yudith	143868195	13425459
yuliet	68395123	8360851
yumara	7375754	454205
yumy	0	0
yunier	137720693	2277494
yusmari	0	0
zenia	71674114	7125447
zulema	0	0
meylin	104032836	8192681
daryll	0	0
