username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	0	0
adalberto	1182384	106363
adamelis	0	0
addys	218892643	19705247
adria	310746337	3828455
adrianamg	50513337	3620567
aleyda	5589666	375952
alicia	58940865	6071350
alina	0	0
amarilys	0	0
amarrero	0	0
ambar	298619041	15985878
ana.laura	0	0
anagloria	0	0
anamayra	0	0
ananidia	42043838	3086689
anapilar	1347629	366608
angelica	0	0
ankumu	156208901	1113049
annerys	0	0
antonio	0	0
aracelys	0	0
ariadna	0	0
arismary	0	0
arletys	82914728	1389020
armando	238980613	4607240
arnaldo	79722452	6982321
arodriguez	257876265	394893
atorrella	0	0
avossirini	0	0
aymara	90065374	8597435
ayme	0	0
b.peon	0	0
barbara	0	0
belar	142063924	12156167
belkis	311555794	3018315
berta	0	0
biorkys	0	0
blanca	416045	119811
bmazon	0	0
bobrador	0	0
camila	204496	53272
campos	122437747	8704787
canfux	113053705	10852513
carmen	0	0
carmen.fdez	23144586	2102105
carmenevelyn	0	0
cary	46444949	6952264
celeste	7746867	920546
chavely	0	0
csanchez	166330417	7460787
cvarela	26717805	763732
dailen	149865361	7479156
dainik	173525382	25820460
dalia	0	0
dalila	13820079	674115
danay	4648431	72212
danayd	0	0
dayamim	0	0
dayanira	98286529	9417607
daylin	2817335	139251
dbcruz	143661450	9063198
deneb	54372733	2700759
denys	128550274	7032722
dergis	0	0
dhernandez	7077278	511551
diadelis	103978366	7119680
dianalay	0	0
dianapr	0	0
directora	0	0
dorian	0	0
dulce	0	0
dunia	89438116	6863632
dunia.glez	0	0
e.suarez	234995348	9778948
ealcolea	3816509	295095
eileen	35113841	3920216
elva	93732886	4418315
epelaez	0	0
eperez	101459698	5583561
erich	305462078	9120213
evelyn	0	0
evelyn.mayo	0	0
fabien	36574597	2344307
faselis	148501246	8787433
fausto	0	0
francis	96427325	3079684
frank.tb	123218880	7339330
gilberto	0	0
giset	0	0
gretel	0	0
grethel	129038	40079
hendrik	0	0
hendrikr	0	0
heredia	18241245	1059552
humberto	0	0
idalis	0	0
ileanagr	138982	46081
ileanasl	0	0
ileanat	0	0
imanuel	33652422	2140593
isac	0	0
ismaray	144993408	12314784
ismary	0	0
ivan.castellanos	0	0
ivonne	20581365	3252412
ivonnerv	0	0
jacome	0	0
jacque	0	0
janette	0	0
jasiel	43436997	1213465
javi.lopez	610013573	39892438
jcarrillo	0	0
jcasamayor	60646378	6665559
jfalcon	2767243699	50268378
jorge	241506824	3207637
jpuñales	301777676	12795499
jvr	0	0
karenriera	149699766	7624687
kenia	65618318	842848
ksantos	0	0
laura.rivas	155237481	11812034
lazaro	0	0
lazaro.pina	143122383	10151554
lbcubas	1244105	203306
leandy	0	0
leanie	295158895	19416248
lenier	0	0
leonardo	309502448	5092821
leyla	114260896	11789577
lgarcia	0	0
liana	307594	58925
liena	0	0
liliana	0	0
liris	313794584	824187
lisette	43734675	973524
lisi	279650592	7429897
lissy	0	0
llilian	0	0
lmaria	0	0
loida	165234	54003
lorena	0	0
luis	47463060	4636130
madai	269402290	18640574
magda	0	0
manresa	1577907	276768
manuel	0	0
mariam	0	0
marieladp	35627841	9813837
marilyn	0	0
mario	15900215	299871
marlenin	0	0
marlon	149842885	7485830
marthah	151313730	5993885
maydelin	185761643	15195966
maydelin.ds	0	0
mayelis	0	0
maylen	580549	122675
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	198315239	4601001
melissa	141498979	15787628
mercedes	0	0
merleneg	33780149	1657996
meylin	205703038	11802446
mfumero	948413434	15560922
mhcollazo	74193217	4590964
miriam	9546103	816045
mirta	153838376	1535605
mirza	0	0
mylene	0	0
naisy	178746463	7392499
natacha	0	0
nestor	0	0
nieves	289650452	24954000
niovis	8505120	183931
noaris	35532502	2494131
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	871483846	34698293
olguita	0	0
orisel	0	0
orlando	3268234	211493
oxana	56276136	1764820
piqueras	0	0
pmando	0	0
rachel	4679819	301249
rafadiaz	0	0
raidel	10901640	1652017
raisi	24091363	1840736
rancol	102620273	8686376
raul	75078562	1092499
raulc	0	0
regla	36633750	2652945
rene	0	0
rfuentes	0	0
roberto	0	0
rodolfo	0	0
rodrigo	0	0
rosa	7625407	70999
roseli	25604295	5054225
rquintanilla	1951775824	20817215
rromero	188120793	10873051
salon6	0	0
sarah	8799387	487023
seprot	0	0
servidores	107540024	225163
silvita	45499870	4429519
sistemas	0	0
somja	0	0
sonia	0	0
susel	0	0
tamara.glez	0	0
torresvinent	154382747	2947825
urbano	0	0
veronica	0	0
violeta	193645760	15147213
virgilio	0	0
vladimir	0	0
wendy	0	0
xiomara	0	0
yadica	89509647	2340202
yadiley	2702882	339320
yadira	0	0
yahimara	0	0
yailin	0	0
yalina	311895590	2681305
yamila	161719622	11732032
yamilacv	0	0
yamilaloli	0	0
yanisel	88368285	7636030
yarmas	25746019	2170196
yborjas	34471425	2374779
yelenies	0	0
yency	0	0
ygonzalez	307377951	7209043
ygordo	0	0
ygutierrez	48571685	7595579
yisel	246337	30414
ylima	152074086	5219092
yolaine	19350589	985949
yperez	80141790	5793829
yudith	145163249	12133047
yuliet	123672344	7316283
yumara	0	0
yumy	108855341	10545029
yunier	149338530	7971163
yusmari	114914869	5418463
zenia	0	0
zulema	0	0
orlandos	0	0
camilav	0	0
racarreras	0	0
segurmatica	502883	8698
