username	received(byte)	sent(byte)
00-Especialistas	0	0
00-JDpto	0	0
00-SUBDIRECTORES	0	0
00-Tecnicos	0	0
aaronvega	0	0
adalberto	0	0
adamelis	268234170	580511
addys	175569624	13804228
adria	6394594	450830
adrianamg	27074383	1366317
aleyda	2495816	235427
alicia	84821249	4327005
alida	0	0
alina	18592981	1272756
amarilys	0	0
amarrero	0	0
ambar	0	0
ana.laura	7183393	1328589
anagloria	111505320	5432183
anamayra	0	0
ananidia	237418630	7249426
anapilar	23011319	516718
anaraime	0	0
angelica	4130767	445235
ankumu	155425034	1904309
annerys	0	0
antonio	141573	23100
aracelys	42978852	24258744
ariadna	510	351
arismary	0	0
arletys	0	0
armando	0	0
arnaldo	0	0
arodriguez	96580727	262578
atorrella	0	0
avossirini	0	0
aymara	47033703	1550507
ayme	8546073	409380
b.peon	0	0
babyr	0	0
barbara	0	0
belar	0	0
belkis	195021204	4400120
berta	0	0
biorkys	23702834	2458357
blanca	0	0
bmazon	0	0
bobrador	0	0
camila	31588865	1171869
campos	0	0
cantero	1432256	209348
carmen	478184952	33425879
carmen.fdez	0	0
carmenevelyn	8272031	416302
cary	3585970	338130
celeste	0	0
chavely	0	0
csanchez	201721819	7354182
cvarela	16597866	4513674
dailen	0	0
dainik	175485996	18941486
dalia	143492177	6400947
dalila	49955208	2903207
danay	32200345	527602
danayd	20837096	744822
dayamim	121696522	8378098
dayanira	28233291	3429388
daylin	0	0
dbcruz	26958664	850882
deneb	0	0
denys	0	0
dergis	0	0
dgmitjams	0	0
dhernandez	0	0
diadelis	72606569	4086880
dianalay	0	0
dianapr	0	0
directora	0	0
dorian	0	0
dulce	0	0
dunia	178319372	10612852
dunia.glez	0	0
e.suarez	128388558	2162416
ealcolea	23264033	1712370
eileen	54624033	5408161
elenalaviellez	0	0
elva	192630645	7449927
epelaez	0	0
eperez	0	0
erich	140493915	5591655
evelyn	175513	116196
evelyn.mayo	0	0
fabien	0	0
faselis	45313299	3273924
fausto	224189831	3824381
francis	0	0
gabriel	0	0
gilberto	306249052	8384956
giset	0	0
gretel	0	0
grethel	0	0
hendrik	0	0
hendrikr	0	0
heredia	101688	61851
herminio	107099170	4397737
humberto	0	0
idalis	18257568	585600
ileanagr	0	0
ileanasl	0	0
ileanat	10773969	534788
imanuel	471398	171685
isac	88759571	11403563
ismaray	150798459	6534818
ismary	102946301	807425
ivan.castellanos	0	0
ivonne	0	0
ivonnerv	0	0
jacome	307756586	6849336
jacque	0	0
janette	0	0
jasiel	0	0
javi.lopez	1189709851	14689405
jcarrillo	0	0
jcasamayor	76978217	14553148
jfalcon	4213993235	75484682
jorge	454946389	4184166
jpuñales	0	0
jvr	160523172	16290870
karenriera	0	0
kenia	9189145	771765
ksantos	0	0
laura.rivas	54289863	4612285
lazaro	0	0
lazaro.pina	26551218	2499136
lbcubas	404440	108789
leandy	0	0
leanie	0	0
lenier	0	0
leonardo	132676546	7200605
leyla	38128078	2336227
lgarcia	0	0
liana	0	0
liena	0	0
liliana	249938339	18989776
liris	306431160	1631312
lisette	91642274	400651
lisi	308480753	6095942
lissy	0	0
llilian	313458287	1144986
lmaria	0	0
loida	33429429	867119
lorena	0	0
luis	0	0
madai	95752585	5204467
magda	0	0
manresa	27887821	911457
manuel	0	0
mariam	38851522	5455188
marieladp	222506082	38679754
marilyn	0	0
mario	122181247	14088405
marlenin	0	0
marthah	0	0
maydelin	23214149	706864
maydelin.ds	0	0
mayelin	156259611	9172953
mayelis	0	0
maylen	0	0
mayra	0	0
mbravo	0	0
mcreyes	0	0
melba	0	0
mercedes	0	0
merleneg	47666440	2651320
meylin	112426505	10394853
mfumero	0	0
mhcollazo	0	0
miriam	52031906	4281416
mirta	0	0
mirza	0	0
mylene	156248	11923
naisy	65419908	1653425
natacha	6573858	503728
nestor	6127395	480612
nieves	127506828	10587185
niovis	0	0
noaris	0	0
nod32	0	0
obriel	0	0
ocastro	0	0
oisis	0	0
olga	0	0
olguita	0	0
orisel	52485600	1438488
orlando	5003004	313632
osmar	0	0
oxana	0	0
piqueras	22410540	2131786
pmando	0	0
rachel	2110737	72366
rafadiaz	155281332	2050865
raidel	54722994	5385689
raisi	221092197	10523102
rancol	27427287	1983716
raul	81925675	2085361
raulc	0	0
rcaballero	0	0
regla	0	0
rene	671033	156089
reynaldo	0	0
rfuentes	193960634	8141766
rizene	0	0
roberto	0	0
rodolfo	0	0
rodrigo	139183136	8515424
rosa	114276	21240
roseli	31901197	6619902
rquintanilla	520170577	13287252
rromero	76925479	6670823
salon6	0	0
sarah	4050553	207344
seprot	0	0
servidores	140114485	322261
silvita	0	0
sistemas	0	0
sonia	0	0
susel	42266985	4177853
tamara.glez	0	0
torresvinent	155287450	2032817
urbano	120587162	3441443
veronica	0	0
violeta	243290576	10630027
virgilio	0	0
vladimir	0	0
wendy	0	0
xiomara	12093362	913333
yadica	29453921	1705428
yadiley	0	0
yadira	307129616	7463435
yahimara	0	0
yailin	0	0
yalina	0	0
yamila	81194190	6628610
yamilacv	0	0
yamilaloli	0	0
yanisel	0	0
yarmas	13668819	528048
yborjas	0	0
yelenies	0	0
yency	0	0
ygonzalez	309872120	4707532
ygordo	0	0
ygutierrez	0	0
yisel	0	0
ylima	147483009	9854105
yolaine	62010801	3970794
yperez	0	0
yudith	129835848	12539956
yuliet	67654797	9435590
yumara	17053427	1369455
yumy	110559118	13149868
yunier	149431192	7856086
yusmari	0	0
zenia	186881676	5821836
zulema	0	0
frank.tb	143472738	13821533
melissa	18135659	559362
