username	received(byte)	sent(byte)
zulema	0	0
zenia	87494313	4773436
yusmari	0	0
yunier	148602827	8696033
yumy	0	0
yumara	0	0
yuliet	0	0
yudith	140291710	17046250
yperez	132345603	15025269
yolaine	20790616	1392936
ylima	151236746	6051862
yisel	0	0
ygutierrez	0	0
ygordo	0	0
ygonzalez	0	0
yency	0	0
yelenies	0	0
yborjas	0	0
yarmas	0	0
yanisel	155984479	11747760
yania	0	0
yamira	0	0
yamilaloli	0	0
yamilacv	0	0
yamila	0	0
yalina	0	0
yailin	0	0
yahimara	80128734	25614850
yadira	0	0
yadiley	0	0
yadica	64998361	16594032
xiomara	0	0
wendy	2166068	274309
vladimir	1557755	89344
virgilio	0	0
violeta	0	0
veronica	10269971	693824
urbano	0	0
tamara.glez	29675398	1278833
susel	0	0
sonia	0	0
sistemas	16775937	7515
silvita	1920717	460677
sheila	0	0
servidores	143618626	775824
seprot	0	0
sarah	0	0
salon6	0	0
rromero	0	0
rquintanilla	154155051	3147425
roseli	0	0
rosa	167649105	6002429
rodrigo	0	0
rodolfo	0	0
roberto	0	0
rizene	0	0
rfuentes	0	0
reynaldo	0	0
rene	247383	103085
regla	0	0
rcaballero	0	0
raulc	0	0
raul	0	0
rancol	0	0
raisi	47027305	4258257
raidel	0	0
rafadiaz	0	0
pmando	0	0
piqueras	14191312	4888967
oxana	0	0
osmar	0	0
orlando	0	0
orisel	0	0
olivia	0	0
olguita	7616546	685990
olga	2753481	253654
oisis	0	0
ocastro	0	0
obriel	0	0
nod32	0	0
noaris	47737413	5615177
niovis	31430996	1492411
nieves	0	0
nestor	42840047	2687946
natacha	7032404	664814
naisy	5230854	328858
mylene	0	0
mirza	0	0
mirta	310863890	3741850
miriam	49928811	2387489
mhcollazo	121304979	7252502
meylin	0	0
merleneg	0	0
mercedes	0	0
melba	0	0
mcreyes	0	0
mbravo	0	0
mayra	0	0
maylen	0	0
mayelis	0	0
mayelin	2204660	287764
maydelin.ds	0	0
maydelin	0	0
marlenin	0	0
mario	0	0
marilyn	0	0
marieladp	0	0
mariam	221810429	9196800
manuel	0	0
manresa	0	0
magda	0	0
madai	252199248	24161405
luis	0	0
lorena	1642805343	19579736
loida	0	0
lmaria	0	0
lissy	0	0
lisi	0	0
lisette	89903032	7181689
lisandra	211499479	21544284
liris	0	0
liliana	0	0
liena	363871	97612
liana	0	0
lgarcia	0	0
leyla	0	0
leonardo	0	0
leanie	0	0
leandy	0	0
lbcubas	0	0
lazaro.pina	0	0
lazaro	78910976	1114210
laura.rivas	201996	51853
ksantos	0	0
kenia	0	0
karenriera	0	0
jvr	0	0
jrodriguez	149125798	1809983
jpuñales	906875	257938
jorge	0	0
jfalcon	0	0
jessica	150085140	7203052
jcasamayor	111095582	783252
jcarrillo	116235886	2360652
javi.lopez	1957786315	11845052
janette	0	0
jacque	0	0
jacome	0	0
ivonnerv	0	0
ivonne	0	0
ivan.castellanos	466081949	5024692
ismary	0	0
ismaray	140944865	16363481
isac	46437612	2979511
imanuel	0	0
ileanat	0	0
ileanasl	0	0
ileanagr	0	0
idalis	0	0
humberto	0	0
herminio	0	0
heredia	576638	72967
hendrik	0	0
gretel	0	0
giset	0	0
gilberto	0	0
gabriel	170645852	7932802
fausto	88324205	1338731
faselis	5720675	164854
fabien	0	0
evelyn.mayo	0	0
evelyn	0	0
estrella	0	0
erich	107203	21358
eperez	0	0
epelaez	0	0
elva	0	0
elsanchez	307712	102513
eloina	0	0
elenalaviellez	763065	95195
eileen	0	0
ealcolea	0	0
e.suarez	11094847	558488
dunia.glez	0	0
dunia	0	0
dulce	0	0
dorian	0	0
dianapr	21153340	1511147
dianalay	0	0
diadelis	0	0
dhernandez	0	0
dgmitjams	0	0
dergis	0	0
denys	0	0
deneb	0	0
dbcruz	0	0
daylin	0	0
dayanira	0	0
dayamim	0	0
danayd	0	0
danay	54971383	688540
dalia	133496684	5671596
dainik	0	0
dailen	0	0
cvarela	0	0
csanchez	32565912	1437513
chavely	0	0
charly	0	0
celeste	0	0
cary	0	0
carmen.fdez	0	0
carmen	390236015	15717838
campos	0	0
bobrador	0	0
bmazon	0	0
blanca	0	0
biorkys	136721	60570
berta	0	0
belkis	100476063	1825560
belar	0	0
barbara	0	0
b.peon	0	0
ayme	61405423	5698229
aymara	0	0
avossirini	0	0
atorrella	0	0
arodriguez	153927762	24646304
arnaldo	0	0
armando	11577301	395368
arletys	0	0
arismary	0	0
ariadna	0	0
aracelys	0	0
annerys	0	0
ankumu	48270159	4670570
angelica	0	0
anaraime	21452050	2475973
anapilar	0	0
ananidia	0	0
anamayra	0	0
anagloria	0	0
ana.laura	21497297	2125593
amorgado	10208051875	28289667
ambar	0	0
amarrero	0	0
amarilys	0	0
alina	0	0
alida	0	0
alicia	9288087	574658
aleyda	0	0
adrianamg	0	0
adria	3055212	230687
addys	0	0
adamelis	10198929	459678
adalberto	0	0
aaronvega	27723372	2630083
aalfonso	0	0
00-Tecnicos	0	0
00-SUBDIRECTORES	0	0
00-JDpto	0	0
00-Especialistas	0	0
grethel	0	0
